pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
34822235,20-70 years,,174 people with breast or ovarian cancer,"Final diagnosis of cancer, undergoing chemotherapy, age range 20-70 years, patient's awareness of diagnosis, low score of spiritual well-being and hope based on applied scales, informed consent to participate. Exclusion criteria: patient’s unwillingness to participate in the study and unmet inclusion criteria.",174,39 (52.7%),35 (47.3%),,,,Cognitive Bias Modification for Interpretation (CBM-I) programs,,Spiritual intervention,usual cares,,pain intensity and pain interference,,FCR and fear of progression (FoP),,,,,,,,,,,,,,,,,
34819131,27-60 years,not specified,breast cancer stage II,"patients undergoing chemotherapy with breast cancer diagnosis, aged 27-60 years, signed informed consent; excluded if comorbidities, pregnant/breastfeeding, planning to become pregnant, opium addiction, lithium intoxication, or dangerous complications, hypersensitivity to lithium",37 patients,19 (lithium),18 (placebo),paclitaxel-lithium,transoral surgery,,,,vehicle-saline,placebo,,,,All patients were stage II breast cancer, 100% adherence rate to drug/placebo use,None of the patients had a history of diabetes or renal or heart failure,,,,,,,,,,,,,,,
34817581,13-17 years,"46% female, 54% male",leukemia or lymphoma,"(1) age between 13 and 17 years; adolescents provide written assent, parents or caregivers provide written consent; (2) fluent in spoken and written English; (3) diagnosed with either new or progressive malignant neoplasm treated with systemic chemotherapy; (4) deemed by clinical staff and/or caregivers to be cognitively able to participate in the intervention",92,48,44,systemic chemotherapy,,,,psychosocial usual care,PRISM,psychosocial usual care,,,improved,,,,,,,,,,,,,,,,,,
34817419,11-24 years,not specified,"AYAs (adolescents and young adults) with prior cancer diagnoses and musculoskeletal pain, as well as their parents","(1) AYAs aged 11 to 24 years; (2) AYAs with initial or relapsed cancer diagnosis; (3) AYAs meeting at least 1 of 3 criteria indicating potentially high palliative care or end-of-life needs; (4) AYAs able to participate in sessions with Karnofsky/Lansky score ?50; (5) 1 consistent parent willing and available to participate; (6) AYAs not married, no children; (7) both AYAs and parents able to read, understand, speak English. Exclusion criteria: cancer diagnosis not common to AYAs or physician determination of cognitive impairments.",360 patients,180,180,,,,Parent education sessions,,TMV intervention,attention control group,,,Functional performance,,Parental support and coping skills,,,,,,,,,,,,,,,,
34815548,56 years (IQR 55–60.5),male,localized prostate cancer,"pathologically and/or radiographically confirmed new diagnosis of localized prostate cancer; scheduled for radical prostatectomy (robotic-assisted or open); no active synchronous malignancy; not currently practicing yoga and/or meditation; adequate pain control; no neurological or musculoskeletal comorbidity that would interfere with exercise; willingness to be randomized to either study group and undergo phlebotomy; ability to provide informed consent. Patients with an absolute contraindication to exercise testing or a psychotic, addiction-related, or major cognitive disorder were excluded.",29,14,15,,radical prostatectomy,,yoga program (Hatha) with 60 min sessions twice weekly for 6 weeks preoperatively and postoperatively,,,standard-of-care only,,incidence rates of grade ?3 treatment-related adverse events,,increased IFN-? response in peripheral cytotoxic CD4+ (p = 0.007) and CD8+ (p = 0.004) cells, reduced levels of regulatory T-cells (p = 0.029) and MDSCs (p = 0.002), increased Fc receptor III (p = 0.041) and IFN-? (p = 0.026) expression in NK cells,,,,,,,,,,,,,,,
34814766,55 ± 9.6,female,breast cancer patients undergoing chemotherapy,"150 women from a main study, responders and non-responders selected based on FACT-B score change after 6 months",20 participants,"acupuncture group (10), responder subset (1)","standard care alone group (10), control group non-responder [CG-NR] (10)",acupuncture,one-time colonoscopy,,,,risk-adapted screening,standard care alone,detection rates of advanced neoplasm (CRC and advanced adenoma) over 4 rounds,"many side effects reported by women during chemotherapy, including worsening condition towards end of 6 cycles with extreme bad feeling for 1 or 2 days per cycle; physical exhaustion got worse from cycle to cycle, making it difficult to get up stairs in apartment building; extreme nausea, inability to sleep, eat, and drink","overall participation rates (attending at least one screening round), social QoL, social functioning, relationships tested, help and support essential, trying not to be too much of a burden, wanting to help partner and children deal with disease, breaking off relationship due to disappointment, avoiding superficial contacts, fear of infections, openly dealing with cancer helpful","phases of mood swings with fear and hopelessness were said to occur frequently, continuous severe depression and anxiety states were rarely reported",appreciation for complementary acupuncture treatment as an important support and opposite pole to the life-threatening disease and burdensome chemotherapy,,,,,,,,,,,,,,,,
34813048,40-69 years,female,elevated risk of interval breast cancer,"members of Kaiser Permanente Washington, normal screening mammogram result between 2016 and 2018, no personal history of cancer, no previous referral for cancer genetic counseling, no prior genetic testing as documented in electronic health records",924 patients,459,465,tamoxifen and raloxifene,total mesorectal resection (TME),,review information on the American Cancer Society website,PMT-informed intervention targeting threat and coping appraisals,,intervention v. control,overall survival (OS),adverse events,,,,,,,,,,,,,,,,,,,
34812521,?18 years,women,stage I-III breast cancer,"female, age ?18 years; diagnosed ?5 years ago; ?3 months post-primary treatment; capable of MVPA participation without exacerbating pre-existing condition(s); able to read, write, and speak English; own a smartphone; have access to a computer with internet; self-report <60 minutes of weekly MVPA; live in the United States or Puerto Rico; willingness to receive telephone support calls and find a buddy",32,32,0,,,"8,000 steps/day self-challenges",Telephone coaching,"Participants received 1 to 5 automated push notifications per day, which were motivational and targeted SCT constructs with tailored progress feedback; Participants assigned to 'off' only received reminders to track MVPA on days no data were transmitted.","Fitbit Zip and custom-designed Fit2Thrive app with advanced features for goal-setting and planning; Goal-Setting/Planning Tool: Could schedule activities for specific days and times with reminders.; Buddy System: Participants assigned to “on” chose an individual from their personal life (i.e. friend, colleague, spouse) to be their “Fitbit Buddy.” Buddies were mailed a Fitbit Zip and training materials on how to support the study participant.; Online Exercise: Participants assigned to online gym “on” were provided access to stream a commercially available DVD and publicly available online workout videos embedded into a study website. Weekly schedules for suggested use were emailed.; Psychological (SCT-based messages): Participants received 1 to 5 automated push notifications per day, which were motivational and targeted SCT constructs with tailored progress feedback; Participants assigned to 'off' only received reminders to track MVPA on days no data were transmitted.",off,,0,cognitive complaints,overall cognitive performance (assessed via global composite score), specific cognitive domains,cortisol and ?-amylase (biological stress markers),,,,,,,,,,,,,,,
34811957,Not mentioned,Not mentioned,locally advanced rectal cancer,"No history of pelvic surgery, other malignancy, or chronic diseases",155 patients (135 from previous study + 20 new),77 patients,78 patients,neoadjuvant radiotherapy,pelvic surgery,,,,,leuprolide alone,metastasis-free survival (MFS),serious adverse events (TRSAEs) and grade ?3 AEs,,"mean scores of AI contours were better than GT’s (Week 0: 2.59 vs. 2.52, p = 0.086; Week 2: 2.55 vs. 2.47, p = 0.115)",Kappa value for each clinician demonstrated acceptable consistency among results between the 2-week interval,,,,,,,,,,,,,,,,
34802955,3 months to 6 years post chemotherapy completion,female,breast cancer survivors with cognitive decline,"could speak and read English, any racial or ethnic background; excluded if had severe cognitive impairments/disorders, inflammatory breast cancer, other inflammatory diseases, systemic steroids or biologic response modifiers within previous 30 days",27 individuals,13,12,FIT-based CRC screening,,,,Kirtan Kriya meditation (KK),colon capsule endoscopy,standard screening pathway,,,,,,,,,,,,,,,,,,,,,
34800474,not specified,women,CRC screening adherence,"1) women with diabetes for HbA1c testing, 2) women aged 52-64 years not up-to-date per HEDIS at randomization for mammography, 3) women aged 51-64 years not up-to-date per HEDIS at randomization for CRC screening",not specified,HOME trial intervention arm women who returned the home-based HPV kit,women who did nothing,Shuanghuang Yangxue Decoction plus ferrous succinate,,,,,,KPWA's usual care outreach,,,,HbA1c testing,,,,,,,,,,,,,,,,,
34797506,adult,male,nmCRPC (non-metastatic castration-resistant prostate cancer),"undergoing androgen deprivation therapy (ADT), baseline PSA level ? 2 ng/mL for ARAMIS, no limit for SPARTAN; additional matching criteria: age, baseline PSA, PSADT, ECOG performance status, use of bone-targeting agents, time from initial diagnosis, testosterone level, prior hormonal therapy, and region",1509,955,554,apalutamide,,,,,ADT,darolutamide + ADT,OS,,,MFS,"PSA progression, PFS",,,,,,,,,,,,,,,,
34794990,not specified,not specified,prostate cancer (PCa) post androgen deprivation therapy (ADT),PCa-QoL Scale, exclusion of persons receiving treatment other than ADT and suffering from severe cognitive or psychiatric problems. Treatment time less than 4 weeks will be excluded.,Six patients,"CBT (including mindfulness-based cognitive therapy, psychological guidance, stress management and cognitive couple therapy)",Any form of CBT except for those with treatment time less than 4 weeks,Coenzyme Q10 (CoQ10) supplementation,,,,"mindfulness-based cognitive therapy, psychological guidance, stress management and cognitive couple therapy, CBT, Cognitive Behavior Therapy, MBCT, mindfulness-based interventions",,CBT,,adverse events,,non-compartmental pharmacokinetic parameters of doxorubicin and its active metabolites,,,,,,,,,,,,,,,,
34794388,18-79 years,Female,"Adults with one of six newly diagnosed solid tumors including stage I-III breast, colorectal, endometrial, head/neck, and non-small cell lung cancer; stage I-IV prostate cancer","Newly diagnosed solid tumors treated with curative intent. Exclusion criteria include: myocardial infarction in the previous 24 months, heart failure with an ejection fraction <30%, or stage IV-V chronic kidney disease (eGFR <30). Participants progressing to metastatic disease during the study period can continue unless they voluntarily withdraw.",800,400,400,pembrolizumab plus chemotherapy, chemotherapy,,,"iGuide 1: (1) notification letter to PCP, (2) request for CVD comorbidities management, (3) monthly tele-education with CME credits, (4) quarterly automated treatment update letters through Epic or autofax; iGuide 2",motivational interviewing and goal setting techniques,"intensified and tailored intervention (iGuide 2), patient-facing webinar",50% compliance on the 3 HEDIS measures,12.3 months versus 9.8 months,6.3 months versus 5.8 months, 71.9% and 67.6%,10.6% and 3.0%,,,,,,,,,,,,,,,,
